name,email,address,amount,currency,country,note
Mere Tuilagi,,GDOZVBMJXBKTM5SQHQE6KWBMHQTV9CZ7MZTXAEYQKIGAXCBDFBYMJ4,58.00,USDC,Fiji,Community liaison
Ana Taufa,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLB4,66.00,USDC,Tonga,Field agent
Isabella Rossi,,GBGDKCS4FENHBXUMKFSNKPJBQX3LNCLRCLFFPJCJDVL3DXFLNYNX998,121.00,USDC,Italy,Program coordinator
Marco Conti,,GDMXNQBJMS3FYI4PFSYCCB4XODQMNMTKPQ5HIKOUWBOWX2MXLXBM998,97.00,USDC,Italy,Finance analyst
Elena Popescu,,GDSB3JZDYKLYKWZ6NXKJD4BDIQZJZP6BLISAAQMBGLDHTKSKBWPKGT3,84.00,USDC,Romania,Data entry
Andrei Ionescu,,GDVVBXIXA7BRTJBHTDNZJBCQJPYSRQXLQQ2NDLTWRWIVZR2G2PYJ998,113.00,USDC,Romania,Logistics
Kofi Mensah,,GCEZQKCA5VLDNRLN3RPRJMRZOX3Z6G5CHCGZL34FMHBT3TNWMY6MN44,76.50,USDC,Ghana,NGO lead
Ama Owusu,ama.owusu@relief-gh.org,,50.00,USDC,Ghana,Walletless — voucher
Kwame Boateng,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLB5,108.00,USDC,Ghana,Field supervisor
Rosa Flores,,GBGDKCS4FENHBXUMKFSNKPJBQX3LNCLRCLFFPJCJDVL3DXFLNYNX997,91.00,USDC,Mexico,Community health
Miguel Ángel Torres,,GDOZVBMJXBKTM5SQHQE6KWBMHQTV9CZ7MZTXAEYQKIGAXCBDFBYMJ5,137.00,USDC,Mexico,Project lead
Valentina Cruz,,GDMXNQBJMS3FYI4PFSYCCB4XODQMNMTKPQ5HIKOUWBOWX2MXLXBM997,79.50,USDC,Argentina,Operations
Lucas Herrera,,GDSB3JZDYKLYKWZ6NXKJD4BDIQZJZP6BLISAAQMBGLDHTKSKBWPKGT4,156.00,USDC,Argentina,Tech lead
Nadia Petrov,,GDVVBXIXA7BRTJBHTDNZJBCQJPYSRQXLQQ2NDLTWRWIVZR2G2PYJ997,82.00,USDC,Ukraine,Coordinator
Oleksandr Shevchenko,,GCEZQKCA5VLDNRLN3RPRJMRZOX3Z6G5CHCGZL34FMHBT3TNWMY6MN55,199.00,USDC,Ukraine,Engineer
Siti Rahmat,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLB6,71.00,USDC,Indonesia,Field worker
Budi Santoso,,GBGDKCS4FENHBXUMKFSNKPJBQX3LNCLRCLFFPJCJDVL3DXFLNYNX996,94.00,USDC,Indonesia,Logistics
Dewi Kusuma,dewi.kusuma@ngo-id.org,,48.00,USDC,Indonesia,Walletless — voucher
Nguyen Thi Lan,,GDOZVBMJXBKTM5SQHQE6KWBMHQTV9CZ7MZTXAEYQKIGAXCBDFBYMJ6,118.00,USDC,Vietnam,Program officer
Tran Van Minh,,GDMXNQBJMS3FYI4PFSYCCB4XODQMNMTKPQ5HIKOUWBOWX2MXLXBM996,87.00,USDC,Vietnam,Field agent
Park Ji-Young,,GDSB3JZDYKLYKWZ6NXKJD4BDIQZJZP6BLISAAQMBGLDHTKSKBWPKGT5,143.00,USDC,South Korea,Data analyst
Kim Min-Jun,,GDVVBXIXA7BRTJBHTDNZJBCQJPYSRQXLQQ2NDLTWRWIVZR2G2PYJ996,101.00,USDC,South Korea,Backend dev
Yaw Darko,,GCEZQKCA5VLDNRLN3RPRJMRZOX3Z6G5CHCGZL34FMHBT3TNWMY6MN66,63.00,USDC,Ghana,Community liaison
Abebe Girma,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLB7,129.00,USDC,Ethiopia,NGO coordinator
